@RELATION mag_train_smote

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 REAL
@ATTRIBUTE attribute_28 REAL
@ATTRIBUTE attribute_29 REAL
@ATTRIBUTE attribute_30 REAL
@ATTRIBUTE attribute_31 {0,1}

@DATA
0.636363636,1,0,0,1,0.607981221,0,0,1,0.692307692,0,1,0,0,0,1,1,0,0,0,0,0,0.107142857,0.075,0,0,0,0,0,1,0.111111111,0
0.636363636,1,0,0,1,0.607981221,0,0,1,0.692307692,0,1,0,0,0,1,1,0,0,0,0,0,0.107142857,0.075,0,0,0,0,0,1,0.111111111,0
0.545454545,0,1,0,1,0.300469484,0,1,0,0.307692308,1,0,0.5,0.5,0,1,1,0,0,0,0,0,0.25,0.275,1,0,0,0,0,1,0.358024691,0
0.818181818,1,0,1,0,0.79342723,0,0,0,0.692307692,1,0,1,1,1,0,0,0,0,0,0.142857143,0,0.071428571,0.0375,1,0,0,0,1,0,0.061728395,0
0.272727273,1,0,0,1,0.319248826,0,0,0,0.461538462,1,0,1,1,0,1,0,1,0,0,0,0,0.071428571,0.275,1,0,0,0,0,1,0.296296296,0
0.818181818,1,0,1,0,0.79342723,0,0,0,0.730769231,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0375,0,0,0,0,0,1,0.037037037,0
0.454545455,1,0,0,1,0.384976526,0,0,1,0.307692308,1,0,0,0,0,1,1,0,0,0,0,0,0.035714286,0.1875,0,1,0,0,1,0,0.197530864,0
0.909090909,0,1,1,0,0.55399061,0,0,0,0.538461538,0,1,1,1,0,1,1,0,0,0,0,0,0,0.025,0,0,0,0,0,1,0.024691358,0
0.818181818,1,0,0,1,0.563380282,0,0,1,0.615384615,1,0,0,0.5,0,1,1,0,1,0,0,0,0.178571429,0.025,1,0,0,0,1,0,0.086419753,0
0.636363636,1,0,0,1,0.544600939,0,1,0,0.653846154,1,0,0,0.5,0,1,1,0,0,0,0,0,0.035714286,0.1,0,1,0,0,0,1,0.111111111,0
0.545454545,0,1,1,0,0.34741784,0,0,1,0.384615385,1,0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
0.636363636,1,0,0,1,0.476525822,0,0,1,0.615384615,0,1,0,0,0,1,1,0,0,0,0,0,0.071428571,0.025,1,0,0,0,0,1,0.049382716,0
